,cx,cy,mz_ref,mx_beta,my_beta,K
cx,1.0,0.15659650408331519,-0.1425159475092975,-0.09250756787298343,0.12806027771444772,0.027432402355575484
cy,0.15659650408331519,1.0,-0.9181540359727441,-0.4177650820171747,-0.011496699431060233,0.8166222179841948
mz_ref,-0.1425159475092975,-0.9181540359727441,1.0,0.47686846126875193,0.004333130631772812,-0.7235339071650874
mx_beta,-0.09250756787298343,-0.4177650820171747,0.47686846126875193,1.0,0.04943283349740012,-0.3236760977764487
my_beta,0.12806027771444772,-0.011496699431060233,0.004333130631772812,0.04943283349740012,1.0,0.008709203487628086
K,0.027432402355575484,0.8166222179841948,-0.7235339071650874,-0.3236760977764487,0.008709203487628086,1.0
