,cx,cy,mz_ref,mx_beta,my_beta,K
cx,1.0,0.18024313539812525,-0.16896415711824067,-0.0978300548355837,0.1728781846374324,0.04235786187764036
cy,0.18024313539812525,1.0,-0.8898704203724286,-0.3048488223942504,-0.02920356176408506,0.8210025271462189
mz_ref,-0.16896415711824067,-0.8898704203724286,1.0,0.36314479251025766,0.057537421654434276,-0.7228777698775305
mx_beta,-0.0978300548355837,-0.3048488223942504,0.36314479251025766,1.0,0.10524739190933688,-0.24341874812512573
my_beta,0.1728781846374324,-0.02920356176408506,0.057537421654434276,0.10524739190933688,1.0,-0.018928867444387182
K,0.04235786187764036,0.8210025271462189,-0.7228777698775305,-0.24341874812512573,-0.018928867444387182,1.0
