,cx,cy,mz_ref,mx_beta,my_beta,K
cx,1.0,0.2221522209821112,-0.20581942462564376,-0.11460352514231702,0.2469763584297172,0.07125446338164534
cy,0.2221522209821112,1.0,-0.9150855958213893,-0.003869415351288898,-0.04766663544642418,0.8320613265689927
mz_ref,-0.20581942462564376,-0.9150855958213893,1.0,0.16519538016568353,0.07300025372090561,-0.7924870112340262
mx_beta,-0.11460352514231702,-0.003869415351288898,0.16519538016568353,1.0,0.1697691407774493,-0.01108310825696388
my_beta,0.2469763584297172,-0.04766663544642418,0.07300025372090561,0.1697691407774493,1.0,-0.05987134157993797
K,0.07125446338164534,0.8320613265689927,-0.7924870112340262,-0.01108310825696388,-0.05987134157993797,1.0
